ds,y,yhat,yhat_lower,yhat_upper
2019-10-22,1456045.23,1384579.4269366981,1107608.8184193762,1659161.425024034
2019-10-23,1152915.71,1375221.6533650758,1094954.9858643522,1625906.7627835383
2019-10-24,1272352.99,1369672.1299484137,1102690.789815629,1633475.6950048779
2019-10-25,1623219.29,1351132.0451329125,1097190.3122068616,1605175.9156770129
2019-10-26,1620180.6,1357744.5526353812,1097007.3179458221,1641819.3845099907
2019-10-27,1122841.82,1375819.703920166,1096084.786935226,1626407.5676264297
2019-10-28,1703628.65,1361100.7952300117,1077366.6893685865,1630271.6373133182
2019-10-29,1054497.95,1386646.119147059,1113346.4264115994,1655177.335511835
2019-10-30,1745189.63,1379077.3784806116,1121264.4998141709,1660881.4789049202
2019-10-31,1246414.31,1375412.5259671954,1095101.7836386876,1649759.4029076041
2019-11-01,1139223.11,1358789.534575416,1092321.3782719586,1628820.75710166
2019-11-02,1179220.99,1367286.4427766232,1076342.6882921348,1641357.3441209043
2019-11-03,1387531.99,1387148.2995233492,1106431.4098255169,1660209.503738973
2019-11-04,1535968.63,1374055.518124057,1102393.5152626955,1643365.8327149507
2019-11-05,1061706.22,1401007.5681532256,1142511.8359842103,1683984.1692845894
2019-11-06,1246692.89,1394573.2044614844,1117651.8409171323,1670549.9982827678
2019-11-07,1091783.38,1391724.9419085374,1131120.8088592328,1668799.6773510824
2019-11-08,1512386.52,1375564.2312723324,1096757.4977301033,1634684.3816600072
2019-11-09,1670507.2,1384142.6383656722,1088612.9082495284,1658600.461796776
2019-11-10,1421346.93,1403689.617057499,1121106.583581665,1679225.7344507484
2019-11-11,1595603.15,1389881.3606495783,1119640.114852718,1655911.400733588
2019-11-12,1461605.28,1415724.6460673064,1160959.048666375,1676114.7309491276
2019-11-13,1150753.4,1407806.865738972,1151224.8618177106,1663029.7275148607
2019-11-14,1422539.98,1403129.9622201931,1126526.5796778225,1683185.0978845977
2019-11-15,1366689.13,1384834.7378693367,1118262.7197041926,1647968.8532342336
2019-11-16,1610188.18,1391020.8683739852,1120413.847536784,1669456.213599625
2019-11-17,1212434.41,1407973.2466873191,1137697.359477237,1654915.5939891667
2019-11-18,1578676.69,1391429.185705879,1129226.6753311267,1663342.956014351
2019-11-19,1396111.29,1414460.4447022798,1167299.9656360494,1689461.6373623267
2019-11-20,1403292.94,1403721.3300920622,1126705.5158699518,1683136.4406021556
2019-11-21,1437921.41,1396280.6447460104,1108112.6435307122,1675168.7723498882
2019-11-22,1242588.33,1375344.018965375,1103217.4196649548,1627374.1819201983
2019-11-23,1264306.28,1379072.0125274982,1089148.1249013618,1652842.0457769942
2019-11-24,1473079.47,1393804.6729303382,1111669.4124121864,1664207.3654320608
2019-11-25,1323785.85,1375327.1328908496,1100698.6447827315,1651069.9914311485
2019-11-26,1178385.18,1396750.2613304076,1144823.4387329987,1664371.8443567152
2019-11-27,1023086.72,1384757.660617885,1095962.9307673678,1652683.8131909072
2019-11-28,1266176.3900000001,1376436.818151213,1112852.8367525733,1648968.2686600096
2019-11-29,1280515.5,1355000.9698875803,1074698.2214791882,1605737.8079880022
2019-11-30,1721300.9,1358607.079582491,1104319.75626128,1635056.1523690056
2019-12-01,1215070.62,1373580.622609288,1084842.3593560918,1642080.306190206
2019-12-02,1368368.69,1355681.7504313136,1067000.5166318212,1638364.8504057063
2019-12-03,1266899.16,1377986.8323851016,1119618.0860319757,1656613.4148169958
2019-12-04,1379270.67,1367136.63996999,1095662.0246067985,1637707.1965658264
2019-12-05,1575816.43,1360168.9448875028,1095335.9845139068,1624598.4290493324
2019-12-06,1073249.93,1340242.0434875288,1063678.340246441,1605934.794512505
2019-12-07,1186919.92,1345454.559652081,1064568.284746818,1605944.9678456967
2019-12-08,1401006.37,1362072.1580473257,1084422.0656433955,1624579.5391287724
2019-12-09,1417439.78,1345795.683384881,1075392.1699339957,1621404.076780741
2019-12-10,1501928.19,1369644.6603069943,1097735.7179953677,1636864.7241209254
